Bubble,Insertion,Merge,Quick
124372,61386,4488,4739
498554,250871,9976,15203
1123169,557495,15952,33897
1997824,1015955,21952,56959
3122039,1586130,28404,87228
4493747,2241566,34904,126572
6117255,3043377,41404,170887
7996404,4051271,47904,225002
10119347,5167403,54808,289503
12492550,6290012,61808,359785
15119549,7562516,68808,442453
17996334,9041559,75808,531131
21121450,10626567,82808,635878
24494420,12246903,89808,746164
