10;45
110;5995
210;21945
310;47895
410;83845
510;129795
610;185745
710;251695
810;327645
910;413595
1010;509545
1110;615495
1210;731445
1310;857395
1410;993345
1510;1139295
1610;1295245
1710;1461195
1810;1637145
1910;1823095
2010;2019045
2110;2224995
2210;2440945
2310;2666895
2410;2902845
2510;3148795
2610;3404745
2710;3670695
2810;3946645
2910;4232595
3010;4528545
3110;4834495
3210;5150445
3310;5476395
3410;5812345
3510;6158295
3610;6514245
3710;6880195
3810;7256145
3910;7642095
4010;8038045
4110;8443995
4210;8859945
4310;9285895
4410;9721845
4510;10167795
4610;10623745
4710;11089695
4810;11565645
4910;12051595
5010;12547545
5110;13053495
5210;13569445
5310;14095395
5410;14631345
5510;15177295
5610;15733245
5710;16299195
5810;16875145
5910;17461095
6010;18057045
6110;18662995
6210;19278945
6310;19904895
6410;20540845
6510;21186795
6610;21842745
6710;22508695
6810;23184645
6910;23870595
7010;24566545
7110;25272495
7210;25988445
7310;26714395
7410;27450345
7510;28196295
7610;28952245
7710;29718195
7810;30494145
7910;31280095
8010;32076045
8110;32881995
8210;33697945
8310;34523895
8410;35359845
8510;36205795
8610;37061745
8710;37927695
8810;38803645
8910;39689595
9010;40585545
9110;41491495
9210;42407445
9310;43333395
9410;44269345
9510;45215295
9610;46171245
9710;47137195
9810;48113145
9910;49099095
